latitude,longitude,brightness,frp,bright_t31,acq_date,acq_time,satellite,confidence,daynight,NOM_DEP,NOM_PROV,NOM_MUN,HECTARES
-14.34272,-62.82038,331.1,3.04,291.99,2024-10-03,1750,N20,n,D,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-16.31435,-59.54361,367.0,12.22,303.85,2024-07-24,1822,N20,h,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-16.61963,-60.13104,311.29,0.76,293.33,2024-08-06,506,N20,n,N,Santa Cruz,Velasco,San Rafael,973100.718
-14.72445,-65.85719,320.71,3.98,292.28,2024-10-13,506,N,n,N,Beni,Yacuma,Santa Ana de Yacuma,2009278.188
-17.60312,-57.78979,336.54,11.19,293.33,2024-09-06,501,N,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-16.85233,-60.44675,346.74,5.56,311.39,2024-09-07,1737,N20,n,D,Santa Cruz,Velasco,San Rafael,973100.718
-15.48425,-65.69079,367.0,10.51,292.04,2024-08-23,1836,N,h,D,Beni,Moxos,San Ignacio,2001132.642
-15.91694,-61.26378,332.82,4.82,302.21,2024-06-12,1810,N20,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-15.02933,-63.43169,318.3,3.59,298.13,2024-09-21,519,N,n,N,Santa Cruz,Guarayos,Urubicha,1046999.667
-13.0778,-65.56946,333.0,9.4,288.2,2024-10-16,1847,N20,n,D,Beni,Yacuma,Exaltacion,2497316.752
-14.95025,-61.67139,302.89,1.81,290.78,2024-09-06,524,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-13.62879,-62.78301,346.51,4.29,299.31,2024-10-30,1744,N20,n,D,Beni,Itenez,Baures,1761607.494
-16.50582,-60.22036,311.61,1.43,293.44,2024-08-05,525,N20,n,N,Santa Cruz,Velasco,San Rafael,973100.718
-16.4006,-60.2105,315.5,15.0,297.4,2024-08-15,204,Terra,91,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-16.63849,-59.48037,333.71,2.29,287.6,2024-08-03,1654,N20,n,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-18.63788,-58.35764,367.0,102.14,335.37,2024-06-28,1744,N,h,D,Santa Cruz,German Busch,Carmen Rivero Torrez,1101079.142
-15.57274,-61.49672,344.12,6.5,303.05,2024-09-17,1750,N20,n,D,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-17.54013,-58.4377,321.18,2.56,294.81,2024-09-08,447,N20,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-16.36136,-59.83002,349.11,13.29,291.23,2024-08-12,1701,N,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-17.93111,-57.86328,367.0,14.63,305.78,2024-09-10,1757,N,h,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-11.85933,-66.02267,313.85,2.08,294.49,2024-08-30,531,N,n,N,Beni,Vaca Diez,Riberalta,972562.88
-15.67629,-63.38786,298.16,0.46,287.62,2024-07-30,537,N20,n,N,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-14.53734,-64.01607,311.15,2.28,294.05,2024-10-07,518,N,n,N,Beni,Cercado,San Javier,817332.335
-15.65586,-64.44532,306.48,2.28,287.48,2024-09-25,608,N20,n,N,Beni,Marban,San Andrés,935478.015
-16.707,-67.91687,332.47,8.19,297.66,2024-08-17,1848,N,n,D,La Paz,Murillo,Mecapaca,53310.944
-14.4029,-62.496,318.7,21.5,295.5,2024-10-12,635,Aqua,97,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-17.54288,-58.58,309.69,1.95,295.56,2024-09-08,447,N20,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-18.27677,-63.01809,308.73,1.68,286.97,2024-01-21,545,N20,n,N,Santa Cruz,Cordillera,Cabezas,505815.887
-13.8567,-60.634,356.08,46.06,289.21,2024-10-09,1738,N20,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-17.15181,-59.45584,350.72,16.34,298.24,2024-08-04,1815,N20,n,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-15.73211,-60.23988,333.74,5.13,287.95,2024-08-14,556,N20,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-15.26838,-63.45375,323.35,3.3,298.88,2024-08-31,513,N,n,N,Santa Cruz,Guarayos,Ascención de Guarayos,867384.615
-13.13231,-66.8768,339.61,5.38,305.0,2024-10-16,1823,N,n,D,Beni,General Jose Ballivi,Reyes,1264166.592
-15.03649,-61.93973,307.31,2.21,289.22,2024-10-04,458,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-16.91356,-59.39963,327.3,2.24,298.02,2024-08-05,501,N,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-17.50942,-59.52528,367.0,9.97,313.67,2024-07-03,1751,N,h,D,Santa Cruz,Chiquitos,San Jose de Chiquitos,1912059.482
-16.25364,-61.79448,326.23,1.26,293.73,2024-08-15,513,N,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.88127,-62.27133,345.56,8.89,300.67,2024-09-22,1756,N20,n,D,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-17.81275,-59.23667,314.78,3.51,293.92,2024-09-08,423,N,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-12.54311,-64.1115,317.67,85.86,320.95,2024-08-16,1752,N20,l,D,Beni,Itenez,Magdalena,1363449.184
-17.86595,-59.10247,334.74,25.5,307.46,2024-09-08,1718,N20,n,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-14.92311,-61.81432,354.92,15.08,296.96,2024-09-17,517,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-15.65938,-61.44731,314.48,2.47,296.31,2024-09-08,446,N20,n,N,Santa Cruz,Ñuflo De Chavez,Concepción,3510852.308
-17.51043,-59.07092,337.46,5.52,309.02,2024-09-07,1737,N20,l,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-15.30705,-61.19329,355.27,26.49,316.55,2024-09-07,1738,N20,n,D,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-17.10233,-58.63412,355.61,25.77,308.67,2024-08-06,1738,N20,n,D,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-14.71414,-60.7394,337.13,3.94,290.7,2024-09-21,542,N20,n,N,Santa Cruz,Velasco,San Ignacio de Velasco,4910231.16
-17.90341,-59.29116,313.94,5.02,296.13,2024-10-06,538,N,n,N,Santa Cruz,Angel Sandoval,San Matías,2708229.504
-17.7265,-62.7933,320.8,25.0,298.6,2024-01-09,1420,Terra,68,D,Santa Cruz,Andres Ibañez,Cotoca,61950.178
